Object,DS,IS,MIS,FID,AMS
cow,0.14 ± 0.0,1.21 ± 0.05,8.99 ± 19.74,558.38 ± 2788.94,8.58 ± 0.33
person,0.2 ± 0.01,2.28 ± 0.04,11.9 ± 6.21,549.24 ± 706.71,5.87 ± 0.11
cat,0.23 ± 0.0,1.82 ± 0.06,5.94 ± 4.52,520.18 ± 997.13,8.58 ± 0.06
dog,0.24 ± 0.0,1.79 ± 0.06,9.82 ± 8.89,468.88 ± 1481.0,6.9 ± 0.1
horse,0.18 ± 0.0,2.53 ± 0.09,10.44 ± 23.57,489.92 ± 1672.35,7.17 ± 0.21
sheep,0.18 ± 0.0,1.74 ± 0.07,15.18 ± 57.03,566.44 ± 3046.94,8.3 ± 0.25
bird,0.22 ± 0.0,2.14 ± 0.08,8.68 ± 6.47,450.0 ± 252.95,6.72 ± 0.06
aeroplane,0.18 ± 0.0,1.86 ± 0.04,4.93 ± 2.9,481.37 ± 1211.83,9.46 ± 0.1
motorbike,0.04 ± 0.0,1.2 ± 0.01,1.63 ± 0.04,411.61 ± 179.69,8.46 ± 0.01
bicycle,0.12 ± 0.0,1.46 ± 0.05,3.01 ± 0.66,455.27 ± 827.42,8.31 ± 0.01
mean,0.17,1.8,8.05,495.13,7.84
